github_org,org_type,govuk_slug,england_planning_data_reference,wikidata_id,site_slug,site_url
InnovateUKGitHub,gov_uk,innovate-uk,,Q7692585,innovate-uk,https://publicsectorcodebyorg.co.uk/org/innovate-uk
nhsbsa,gov_uk,nhs-business-services-authority,,Q6954117,nhs-business-services-authority,https://publicsectorcodebyorg.co.uk/org/nhs-business-services-authority
nhsbsa-data-analytics,gov_uk,nhs-business-services-authority,,Q6954117,nhs-business-services-authority,https://publicsectorcodebyorg.co.uk/org/nhs-business-services-authority
nice-digital,gov_uk,national-institute-for-clinical-excellence,,Q3425168,national-institute-for-clinical-excellence,https://publicsectorcodebyorg.co.uk/org/national-institute-for-clinical-excellence
InsolvencyService,gov_uk,insolvency-service,,Q6038232,insolvency-service,https://publicsectorcodebyorg.co.uk/org/insolvency-service
UKHO,gov_uk,uk-hydrographic-office,,Q2495231,uk-hydrographic-office,https://publicsectorcodebyorg.co.uk/org/uk-hydrographic-office
thepensionsregulator,gov_uk,the-pensions-regulator,,Q7756572,the-pensions-regulator,https://publicsectorcodebyorg.co.uk/org/the-pensions-regulator
BEACmodel,gov_uk,department-for-energy-security-and-net-zero,,Q116825523,department-for-energy-security-and-net-zero,https://publicsectorcodebyorg.co.uk/org/department-for-energy-security-and-net-zero
decc,gov_uk,department-for-energy-security-and-net-zero,,Q116825523,department-for-energy-security-and-net-zero,https://publicsectorcodebyorg.co.uk/org/department-for-energy-security-and-net-zero
antarctica,other,,,Q918757,british-antarctic-survey,https://publicsectorcodebyorg.co.uk/org/british-antarctic-survey
ukaea,gov_uk,uk-atomic-energy-authority,,Q615775,uk-atomic-energy-authority,https://publicsectorcodebyorg.co.uk/org/uk-atomic-energy-authority
acteng,gov_uk,active-travel-england,,Q97933142,active-travel-england,https://publicsectorcodebyorg.co.uk/org/active-travel-england
MetOffice,gov_uk,met-office,,Q1851405,met-office,https://publicsectorcodebyorg.co.uk/org/met-office
MetOfficeSpaceApps,gov_uk,met-office,,Q1851405,met-office,https://publicsectorcodebyorg.co.uk/org/met-office
jules-lsm,gov_uk,met-office,,Q1851405,met-office,https://publicsectorcodebyorg.co.uk/org/met-office
